rate,directors,casts,star,cover,id,url,title
9.2,"[""奥利维耶·特雷内 ""]","[""格雷戈瓦·勒普兰斯-林盖"",""达尼埃莱·莱布伦"",""格莱高利·嘉德波瓦"",""埃默琳·格""]",45,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1529066859.jpg,6846495,https://movie.douban.com/subject/6846495/,调音师
8.2,"[""詹姆斯·古恩""]","[""克里斯·普拉特"",""佐伊·索尔达娜"",""戴夫·巴蒂斯塔"",""范·迪塞尔"",""布莱德利·库珀""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2455261804.jpg,25937854,https://movie.douban.com/subject/25937854/,银河护卫队2
8.6,"[""岩井俊二""]","[""三上博史"",""恰拉"",""伊藤步"",""江口洋介"",""许志安""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p532195562.jpg,1307793,https://movie.douban.com/subject/1307793/,燕尾蝶
7.3,"[""艾斯彭·山德伯格"",""乔阿吉姆·罗恩尼""]","[""约翰尼·德普"",""哈维尔·巴登"",""杰弗里·拉什"",""布伦顿·思韦茨"",""卡雅·斯考达里奥""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2459723975.jpg,6311303,https://movie.douban.com/subject/6311303/,加勒比海盗5：死无对证
7.2,"[""陈正道""]","[""张睿家"",""张孝全"",""杨淇""]",35,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1704936149.jpg,1914831,https://movie.douban.com/subject/1914831/,盛夏光年
6.9,"[""杜琪峰"",""韦家辉""]","[""金城武"",""梁咏琪"",""关颖"",""陈之财"",""林雪""]",35,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p486572158.jpg,1308587,https://movie.douban.com/subject/1308587/,向左走．向右走
7.4,"[""陆川""]","[""刘烨"",""高圆圆"",""中泉英雄"",""范伟"",""裴中中""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p470463541.jpg,2294568,https://movie.douban.com/subject/2294568/,南京！南京！
8.2,"[""托德·海因斯""]","[""凯特·布兰切特"",""鲁妮·玛拉"",""凯尔·钱德勒"",""杰克·莱西"",""莎拉·保罗森""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2312679154.jpg,10757577,https://movie.douban.com/subject/10757577/,卡罗尔
9.6,"[""申源浩""]","[""成东日"",""李日花"",""罗美兰"",""金成钧"",""崔武成""]",50,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2272563445.jpg,26302614,https://movie.douban.com/subject/26302614/,请回答1988
8.6,"[""彼得·维纳""]","[""詹姆斯·沃克"",""特里特·威廉斯"",""多米尼克·斯科特·凯伊"",""莎拉·德鲁"",""凯瑟琳·约克""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p496133870.jpg,4798888,https://movie.douban.com/subject/4798888/,叫我第一名
9.3,"[""Mark Cendrowski""]","[""约翰尼·盖尔克奇"",""吉姆·帕森斯"",""凯莉·库柯"",""西蒙·赫尔伯格"",""昆瑙·内亚""]",50,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1864616471.jpg,3990470,https://movie.douban.com/subject/3990470/,生活大爆炸  第三季
7.2,"[""罗伯特·路克蒂克""]","[""瑞茜·威瑟斯彭"",""卢克·威尔逊"",""塞尔玛·布莱尔"",""马修·戴维斯"",""维克多·加博""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2201173343.jpg,1304854,https://movie.douban.com/subject/1304854/,律政俏佳人
8.7,"[""杨德昌""]","[""张震"",""杨静怡"",""张国柱"",""王启赞"",""林鸿铭""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p848381236.jpg,1292329,https://movie.douban.com/subject/1292329/,牯岭街少年杀人事件
7.0,"[""罗伯·马歇尔""]","[""章子怡"",""渡边谦"",""杨紫琼"",""巩俐"",""周采芹""]",35,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p453716919.jpg,1309059,https://movie.douban.com/subject/1309059/,艺伎回忆录
9.1,"[""欧文·哈里斯""]","[""海莉·阿特维尔"",""多姆纳尔·格里森"",""克洛伊·皮里""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1937639715.jpg,11502153,https://movie.douban.com/subject/11502153/,黑镜 第二季
8.6,"[""加美·尤伊斯""]","[""Marius Weyers"",""历苏""]",45,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2173719647.jpg,1297478,https://movie.douban.com/subject/1297478/,上帝也疯狂
8.7,"[""雷德利·斯科特""]","[""吉娜·戴维斯"",""苏珊·萨兰登"",""哈威·凯特尔"",""迈克尔·马德森"",""布拉德·皮特""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p794583044.jpg,1291992,https://movie.douban.com/subject/1291992/,末路狂花
8.6,"[""洛朗·蒂拉尔""]","[""马克西姆·戈达尔"",""瓦莱丽·勒梅西埃"",""凯德·麦拉德"",""桑德琳娜·基贝兰"",""维克托·卡莱斯""]",45,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p465446537.jpg,3157605,https://movie.douban.com/subject/3157605/,巴黎淘气帮
6.9,"[""尹力""]","[""陈坤"",""徐若瑄"",""李冰冰"",""归亚蕾"",""秦汉""]",35,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p787214519.jpg,1949811,https://movie.douban.com/subject/1949811/,云水谣
